"R-Ladies Salzburg",2025-08-11,"112"
"Johannesburg R User Group Community",2025-08-11,"196"
"Kolkata R UseR group",2025-08-11,"1578"
"Estación R",2025-08-11,"5273"
"Spare Cores",2025-08-11,"338"
"Apache Sedona",2025-08-11,"2913"
"data.table Community",2025-08-11,"313"
"R-Ladies Vienna",2025-08-11,"102"
"Ahmedabad R Users Group",2025-08-11,"489"
"We R Madagascar",2025-08-11,"224"
"GRB ",2025-08-11,"9980"
"Rbanism",2025-08-11,"49"
"R community Cameroon",2025-08-11,"411"
"Karachi R User Group",2025-08-11,"71"
"SACHA 1989 ltd",2025-08-11,"170"
"Thraets",2025-08-11,"340"
"R-Forwards",2025-08-11,"117"
"PyData Paris",2025-08-11,"1524"
"Oxford Dynamic Robot Systems",2025-08-11,"885"
"Done With R",2025-08-11,"22"
"Developer Relations Foundation",2025-08-11,"645"
"BSides Galway",2025-08-11,"277"
"Botswana R Users",2025-08-11,"36"
"R Users Malawi",2025-08-11,"167"
"R x TH",2025-08-11,"13"
"PyData Boston",2025-08-11,"162"
"PyDataMCR",2025-08-11,"259"
"IndabaX Chad",2025-08-11,"1059"
"RCollab",2025-08-11,"586"
"Julia Gender Inclusive",2025-08-11,"23"
"Baseline Community + Workspace",2025-08-11,"1146"
"Projet Mobilier National",2025-08-11,"277"
"Healix",2025-08-11,"51"
"PyData Bradford",2025-08-11,"116"
"R en Buenos Aires",2025-08-11,"553"
"Limerick IT Summit",2025-08-11,"488"
"Field of Play",2025-08-11,"906"
"Cliniphai",2025-08-11,"369"
"IRESSEF - Institute for Health Research, Epidemiological Surveillance, and Training",2025-08-11,"3105"
"R Community Mali",2025-08-11,"81"
"PyCon Greece",2025-08-11,"1038"
"Rome R Users Group",2025-08-11,"49"
"The Use of R in Official Statistics - uRos",2025-08-11,"325"
"rainbowR",2025-08-11,"92"
